Relais,Gestionnaire,Adresse,Code postal,Commune,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
France Services Bus mobile QPV Nice,Association Paje,181 av du Maréchal Lyautey,06300,Nice,43.722656,7.287071,181 Avenue Maréchal Lyautey 06000 Nice,0.7058067441860465,0.5253790063424947,housenumber,06088_4025_00181,181,181 Avenue Maréchal Lyautey,Avenue Maréchal Lyautey,06000,Nice,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06088,,,,ok
France Services Cannes,Mairie,21 av Victor Hugo,06150,Cannes,43.568731,6.966722,Avenue Victor Hugo 06400 Cannes,0.5927141769041768,0.418509748549323,street,06029_risi31,,Avenue Victor Hugo,Avenue Victor Hugo,06400,Cannes,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06029,,,,ok
France Services Carros,Association Pari Mix'Cité,15 bis rue du Bosquet,06510,Carros,43.775513,7.192434,Rue du Bosquet 06510 Carros,0.7605761707988979,,street,06033_0120,,Rue du Bosquet,Rue du Bosquet,06510,Carros,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06033,,,,ok
France Services Colomars,SIVoM Val de Banquière,1 place de la Madone,06670,Colomars,43.758975,7.219086,1 Place de la Madone 06670 Colomars,0.9485018181818181,0.6645971175166298,housenumber,06046_0278_00001,1,1 Place de la Madone,Place de la Madone,06670,Colomars,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06046,,,,ok
France Services Grasse - Les Aspres,CAPG,Place Victor Schoelcher,06130,Grasse,43.654634,6.919818,Traverse Victor Hugo 06130 Grasse,0.47108430830039516,0.41702645640074204,street,06069_5230,,Traverse Victor Hugo,Traverse Victor Hugo,06130,Grasse,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06069,,,,ok
France Services Grasse Centre,Conseil départemental,12 bd Carnot,06130,Grasse,43.655141,6.921542,12 Boulevard Carnot 06130 Grasse,0.7119236363636363,0.5869918181818181,housenumber,06069_0680_00012,12,12 Boulevard Carnot,Boulevard Carnot,06130,Grasse,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06069,,,,ok
France Services Guillaumes,Association UFCV,25 place de Provence,06470,Guillaumes,44.090178,6.853167,25 Place de Provence 06470 Guillaumes,0.9492427272727273,0.512667495361781,housenumber,06071_0032_00025,25,25 Place de Provence,Place de Provence,06470,Guillaumes,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06071,,,,ok
France Services La Trinité,Mairie,19 rue de l'hôtel de ville,06340,La Trinité,43.743146,7.313789,19 Rue de l'Hôtel de Ville 06340 La Trinité,0.9596272727272727,,housenumber,06149_0440_00019,19,19 Rue de l'Hôtel de Ville,Rue de l'Hôtel de Ville,06340,La Trinité,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06149,,,,ok
France Services L'Escarène,Commune de l'Escarène,14 rue du château,06440,L'Escarène,43.834699,7.353808,14 Rue du Château 06440 L'Escarène,0.9583881818181818,0.5992628159645231,housenumber,06057_0027_00014,14,14 Rue du Château,Rue du Château,06440,L'Escarène,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06057,,,,ok
France Services Levens - Plan-du-Var,Conseil départemental,368 av Porte des Alpes,06670,Plan-du-Var,43.856406,7.196771,368 Avenue Porte des Alpes 06670 Levens,0.5861855371900826,0.47320454545454543,housenumber,06075_0131_00368,368,368 Avenue Porte des Alpes,Avenue Porte des Alpes,06670,Levens,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06075,,,,ok
