Relais;Adresse 1;Code postal;Commune;latitude;longitude
Agence postale de Saint Jeannet;40 rue du Vallon;6640;Saint Jeannet;43.749088;7.14366
Association ADIL 06;5 rue du Congrès;6000;Nice;43.695844;7.263239
Association Cap Jeunesse Côte d'Azur/ AGIS 06;6 av Félix Faure;6000;Nice;43.6986;7.274589
Association Logis des Jeunes de Provence / Espace Mimont;5 rue Mimont;6400;Cannes;43.55482;7.020172
Association Parcours de Femmes;2 avenue du centre;6150;Cannes-la-Bocca;43.54579;6.96352
"Centre social des Moulins ""Le 26 MLK""";26 av Martin Luther King;6200;Nice;43.674415;7.203362
Centre Communal d'Action Sociale de Beausoleil;1-3 rue Jules Ferry;6240;Beausoleil;43.742789;7.424164
Centre Social de Beausoleil;32 bd de la République;6240;Beausoleil;43.743686;7.426128
CCAS de Contes;7 rue Louis Anfosso;6390;Contes;43.809802;7.314963
CCAS de Peymeinade;Hôtel de Ville 11 bd du Général de Gaulle;6530;Peymeinade;43.642379;6.875336
Centre social AGASC - Le Point du Jour;145 allée des écureuils;6700;Saint-Laurent-du-Var;43.685066;7.18286
Centre Social Galice Antenne Cessole;141 bd Gambetta;6000;Nice;43.7087;7.255928
Centre Social Galice Antenne Las Planas;84 bd Henri Sappia;6100;Nice;43.730593;7.248867
Centre Social Galice Antenne Vallon des Fleurs;103 av Henry Dunant;6100;Nice;43.728272;7.266554
Espace de Vie Sociale Les Liserons;326 route de Turin;6300;Nice;43.731811;7.290016
Centre Social Harpèges;31-33 rue Marcel Journet;6130;Grasse;43.659265;6.924285
Centre Social Isi Montjoye;177 avenue Alphonse Toreille;6140;Vence;43.721997;7.117484
Centre Social Le Village;Jardin l'Écuyer 4 avenue Émilie Ripert;6300;Nice;43.735828;7.301462
Centre Social MJC Cœur de Ranguin;ch rural de la Frayère;6150;Cannes-la-Bocca;43.570089;6.962579
Espace Activités Emploi;39 route de Cannes;6370;Mouans-Sartoux;43.621002;6.998702
"Espace de Vie Sociale de Vallauris / Apprentis d'Auteuil /
ADRAFOM06";67 avenue Georges Clémenceau;6220;Vallauris;43.575766;7.058274
Mairie de Breil-sur-Roya;255 av Jean Jaurès;6540;Breil-sur-Roya;43.942288;7.516396
Mairie de Drap;av Général de Gaulle;6340;Drap;43.758206;7.320396
Point info famille;Mairie annexe 28 avenue Virgil Barel;6340;Drap;43.770412;7.332305
Mission locale du Pays de Grasse;16 chemin de Camperousse;6130;Grasse;43.641107;6.952834
